Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
;;;;;;;;;;?;;;;;639;;631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;640;;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;641;;633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;642;;634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;643;;635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;644;;636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;645;;637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;646;;638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;647;;639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;648;;640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;649;;641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;650;;642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;651;;643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;652;;644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;653;;645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;654;;646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;655;;647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;656;;648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;657;;649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;658;;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;659;;651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;660;;652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;661;;653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;662;;654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;663;;655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;664;;656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;665;;657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;666;;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;667;;659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;668;;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;669;;661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;Vielleicht: sich gegenseitig in die Quere kommen, stören;;;;;670;;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;671;;663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;672;;664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;673;;665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;674;;666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;675;;667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;676;;668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;677;;669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;678;;670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;679;;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;680;;672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;681;;673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;682;;674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;683;;675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;684;;676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;685;;677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;686;;678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;687;;679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;688;;680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;689;;681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;690;;682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;691;;683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;692;;684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;693;;685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;694;;686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;695;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;696;;688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;697;;689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;698;;690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;699;;691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;700;;692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;701;;693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;702;;694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;703;;695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;704;;696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;705;;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;706;;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;707;;699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;708;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;709;;701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;710;;702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;711;;703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;712;;704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;713;;705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;714;;706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;715;;707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;716;;708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;717;;709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;718;;710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;719;;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;720;;712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;721;;713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;722;;714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;äußerst plausibel, vielleicht: angeben, sich künstlich aufplustern;;;;;723;;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;724;;716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;725;;717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;726;;718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;727;;719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;728;;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;729;;721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;730;;722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;731;;723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;732;;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;733;;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;734;;726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;735;;727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;736;;728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;737;;729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;738;;730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;739;;731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;740;;732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;741;;733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;742;;734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;743;;735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;744;;736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;745;;737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;746;;738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;747;;739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;748;;740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;749;;741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;750;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;751;;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;752;;744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;753;;745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;754;;746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;755;;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;756;;748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;757;;749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;758;;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;759;;751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;760;;752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;761;;753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;762;;754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;763;;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;764;;756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;765;;757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;766;;758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;767;;759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;768;;760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
